check_name,bucket,row_count,status,details
approved_applications_without_candidate,all,21,ok,null
cross_employer_staff_employment_links,all,0,ok,null
employment_assignments_missing_employer_scope,all,0,ok,null
employment_assignments_without_staff_member,all,0,ok,null
future_non_cancelled_shifts_for_inactive_staff,all,0,ok,null
job_applications_missing_employer_scope,all,0,ok,null
staff_documents_by_status,approved,4,ok,null
staff_documents_by_status,uploaded,3,ok,null
staff_members_missing_employer_scope,all,0,ok,null
staff_members_without_employment_assignment,all,4,ok,null
staff_onboarding_candidates_missing_employer_scope,all,0,ok,null
staff_shifts_without_staff_member,all,0,ok,null
table_exists,attendance_entries,null,missing,public.attendance_entries
table_exists,employment_assignments,null,ok,public.employment_assignments
table_exists,job_applications,null,ok,public.job_applications
table_exists,staff_documents,null,ok,public.staff_documents
table_exists,staff_invitations,null,ok,public.staff_invitations
table_exists,staff_members,null,ok,public.staff_members
table_exists,staff_onboarding_candidates,null,ok,public.staff_onboarding_candidates
table_exists,staff_shift_assignments,null,ok,public.staff_shift_assignments
table_exists,staff_shifts,null,ok,public.staff_shifts
table_exists,work_mode_publications,null,ok,public.work_mode_publications
