version,migration_name,classification,canonical_active_match,archived_path
20250120000000,event_social_features,duplicate_version_noncanonical,20250120000000_extend_artist_jobs_for_collaborations.sql,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20250120000000_event_social_features.sql
20250818122000,job_board_core,duplicate_version_noncanonical,20250818122000_logistics_tasks_align.sql,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20250818122000_job_board_core.sql
20260416061730,reconcile_onboarding_columns_for_signup_trigger,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260416061730_reconcile_onboarding_columns_for_signup_trigger.sql
20260423190222,ensure_artist_job_categories_seed,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260423190222_ensure_artist_job_categories_seed.sql
20260424193000,rebuild_legacy_table_map_comments,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260424193000_rebuild_legacy_table_map_comments.sql
20260520220000,event_bulletins_rls_dedup,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260520220000_event_bulletins_rls_dedup.sql
20260520221000,dm_notification_fanout,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260520221000_dm_notification_fanout.sql
20260520222000,dm_trust_model,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260520222000_dm_trust_model.sql
20260520223000,job_postings_allow_applicant_messages,superseded_conflicting_variant,20260701021012_job_postings_allow_applicant_messages.sql,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260520223000_job_postings_allow_applicant_messages.sql
20260520224000,group_threads_model,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260520224000_group_threads_model.sql
20260520225000,event_group_notify_fanout,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260520225000_event_group_notify_fanout.sql
20260526100000,profiles_role_column,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260526100000_profiles_role_column.sql
20260526100100,group_threads_rls_security_definer,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260526100100_group_threads_rls_security_definer.sql
20260526100200,messages_rls_tighten,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260526100200_messages_rls_tighten.sql
20260526100300,resolve_message_context_v2,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260526100300_resolve_message_context_v2.sql
20260526100400,send_dm_request_function,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260526100400_send_dm_request_function.sql
20260529102000,site_map_realtime_publication,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260529102000_site_map_realtime_publication.sql
20260529103000,site_map_task_assignments_v2,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260529103000_site_map_task_assignments_v2.sql
20260529104000,site_map_templates_and_scale,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260529104000_site_map_templates_and_scale.sql
20260529105000,site_map_public_share_tokens,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260529105000_site_map_public_share_tokens.sql
20260602100000,ticketing_extended_tables,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260602100000_ticketing_extended_tables.sql
20260602110000,advancing_and_daysheets,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260602110000_advancing_and_daysheets.sql
20260602120000,unified_staff_roster,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260602120000_unified_staff_roster.sql
20260602130000,settlements,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260602130000_settlements.sql
20260602140000,ticket_checkin_columns,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260602140000_ticket_checkin_columns.sql
20260602150000,message_attachments_realtime,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260602150000_message_attachments_realtime.sql
20260604100000,content_moderation,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260604100000_content_moderation.sql
20260604200000,admin_audit_log,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260604200000_admin_audit_log.sql
20260604210000,rls_hardening,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260604210000_rls_hardening.sql
20260605100000,logistics_vendors,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260605100000_logistics_vendors.sql
20260605110000,performance_indexes_roster_view,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260605110000_performance_indexes_roster_view.sql
20260607120000,account_relationships_ownership_rls,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260607120000_account_relationships_ownership_rls.sql
20260609000000,user_sessions_entity_profile_id,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260609000000_user_sessions_entity_profile_id.sql
20260609000100,posts_acting_entity_columns,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260609000100_posts_acting_entity_columns.sql
20260609000200,employment_assignments,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260609000200_employment_assignments.sql
20260609000300,artist_profiles_persona_kind,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260609000300_artist_profiles_persona_kind.sql
